Species name (original dataset),mb (g),Log10 mb (g),BMR (ml O2 h-1),Log10 BMR (ml O2 h-1),,,Longitude (°),Altitude (m),,,,
Microtus longicaudatus,30.2,1.48,62.21,1.79,,,-121.3,1071,,,,
Microtus longicaudus,26.9,1.43,62.19,1.79,,,-117.8,1446,,,,
Microtus mexicanus,28.8,1.46,46.94,1.67,,,-106.62,1609,,,,
Microtus montanus,30.8,1.49,81.62,1.91,,,-117.2,755,,,,
Microtus ochrogaster,47,1.67,82.2,1.91,,,-105.08,1549,,,,
Microtus oeconomus,32,1.51,100.8,2,,,-156.78,12,,,,
Microtus pennsylvanicus,38.9,1.59,75.08,1.88,,,-76.4,371,,,,
Microtus pinetorum,23.8,1.38,55.93,1.75,,,-76.4,371,,,,
Microtus richardsoni,51.3,1.71,172.64,2.24,,,-121.65,1133,,,,
Microtus subterraneus,17.8,1.25,49.48,1.69,,,16.83,86,,,,
Microtus xanthognathus,68.5,1.84,98.64,1.99,,,-115.78,163,,,,
Miniopterus schreibersii,10.91,1.04,25.87,1.41,,,130.6,13,,,,
Molossus molossus,15.6,1.19,17.41,1.24,,,-49.22,480,,,,
Monodelphis brevicaudata,111,2.05,75.48,1.88,,,-67.42,50,,,,
Monodelphis domestica,104,2.02,59.28,1.77,,,-47.3,769,,,,
Monophyllus redmani,8.7,0.94,10.95,1.04,,,-67.16,121,,,,
Mormoops blainvillei,8.6,0.93,7.96,0.9,,,-67.15,121,,,,
Mormoops megalophylla,16.5,1.22,24.38,1.39,,,-71.1,3,,,,
Mus minutoides,8.06,0.91,24.02,1.38,,,30.3,1067,,,,
Mus musculus,13.2,1.12,65.34,1.82,,,20.97,99,,,,
Mus spretus,21.8,1.34,61.91,1.79,,,-3.94,70,,,,
Mustela erminea,75,1.88,165,2.22,,,-156.78,12,,,,
Myoprocta acouchy,914,2.96,501.99,2.7,,,-55.65,122,,,,
Myopus schisticolor,26.4,1.42,93.46,1.97,,,25.37,8,,,,
Myotis keaysi,5,0.7,5.97,0.78,,,-71.26,2315,,,,
Myotis oxyotus,4.8,0.68,3.98,0.6,,,-71.27,2315,,,,
Myotis thysanodes,6,0.78,9.95,1,,,-105.65,2466,,,,
Myrmecobius fasciatus,480,2.68,185.76,2.27,,,118.47,291,,,,
Mystromys albicaudatus,93.78,1.97,126.79,2.1,,,29.13,2363,,,,
Nandinia binotata,4270,3.63,861.69,2.94,,,35.51,157,,,,
Napaeozapus insignis,22,1.34,39.6,1.6,,,-74,668,,,,
Nasua narica,5554,3.74,1206.47,3.08,,,-78.19,244,,,,
Nasua nasua,4000,3.6,999,3,,,-82.2,21,,,,
Natalus tumidirostris,5.4,0.73,8.46,0.93,,,-70.14,10,,,,
Neofiber alleni,258.1,2.41,216.8,2.34,,,-82.08,28,,,,
Neomys fodiens,17.1,1.23,55.06,1.74,,,48.83,-4,,,,
Neotoma fuscipes,186.7,2.27,147.49,2.17,,,-118.4,33,,,,
Neotoma lepida,98.7,1.99,74.03,1.87,,,-114.9,596,,,,
Neurotrichus gibbsii,11.8,1.07,46.27,1.67,,,-123.1,42,,,,
Ningaui yvonneae,11.6,1.06,15.66,1.19,,,141.65,154,,,,
Noctilio albiventris,27,1.43,23.88,1.38,,,-56.47,128,,,,
Noctilio leporinus,61,1.79,46.77,1.67,,,-56.48,128,,,,
Notiosorex crawfordi,4,0.6,13.08,1.12,,,-110.93,815,,,,
Notomys alexis,32.3,1.51,45.22,1.66,,,131.78,674,,,,
Notomys cervinus,33.2,1.52,44.16,1.65,,,139.35,42,,,,
Nycticebus coucang,953.3,2.98,231.65,2.36,,,101.55,38,,,,
Nyctimene albiventer,30.9,1.49,43.78,1.64,,,147.51,1586,,,,
Nyctophilus geoffroyi,7,0.85,11.44,1.06,,,151.73,983,,,,
Ochotona princeps,109,2.04,166.77,2.22,,,-114.02,1099,,,,
Ochrotomys nuttalli,19.5,1.29,27.11,1.43,,,-81.85,18,,,,
Octodon bridgesi,176.1,2.25,183.32,2.26,,,-72.4,355,,,,
Octodon degus,206.4,2.31,173.17,2.24,,,-70.78,498,,,,
Octodon lunatus,173.2,2.24,171.47,2.23,,,-72.9,182,,,,
Octodontomys gliroides,156.3,2.19,125.82,2.1,,,-69.45,4068,,,,
Octomys mimax,118.6,2.07,115.04,2.06,,,-66,38,,,,
Ondatra zibethicus,1004.6,3,642.29,2.81,,,-74.01,11,,,,
Onychomys torridus,19.1,1.28,29.61,1.47,,,-106.8,1220,,,,
Oryzomys longicaudatus,28.2,1.45,51.01,1.71,,,-70.78,498,,,,
Otomys irroratus,102,2.01,84.86,1.93,,,28.18,1374,,,,
Otomys sloggetti,113.3,2.05,133.69,2.13,,,29.13,2363,,,,
Otomys unisulcatus,96,1.98,106.56,2.03,,,22.58,846,,,,
Oxymycterus roberti,84,1.92,91.56,1.96,,,-50.13,682,,,,
Paradoxurus hermaphroditus,3160,3.5,757.71,2.88,,,105.18,1246,,,,
Paraxerus cepapi,223.6,2.35,145.34,2.16,,,26.4,775,,,,
Paraxerus palliatus ornatus,366.6,2.56,263.95,2.42,,,31.8,423,,,,
Paraxerus palliatus tongensis,206,2.31,175.1,2.24,,,32.57,28,,,,
Parotomys brantsii,86.5,1.94,83.91,1.92,,,22.58,846,,,,
Pecari tajacu,20000,4.3,5811.94,3.76,,,-111.05,847,,,,
Pedetes capensis,2300,3.36,792.54,2.9,,,36.49,1481,,,,
Perameles nasuta,645,2.81,316.05,2.5,,,151.2,29,,,,
Perodicticus potto,1090,3.04,512.44,2.71,,,11.36,732,,,,
Perognathus baileyi,29.1,1.46,38,1.58,,,-110.93,815,,,,
Perognathus californicus,22,1.34,21.34,1.33,,,-118.4,33,,,,
Perognathus fallax,19.6,1.29,29.75,1.47,,,-117.18,405,,,,
Perognathus flavus,8.3,0.92,17.31,1.24,,,-110.93,815,,,,
Perognathus formosus,15.1,1.18,18.42,1.27,,,-114.9,596,,,,
Perognathus hispidus,32,1.51,45.89,1.66,,,-110.93,815,,,,
Perognathus intermedius,18.3,1.26,24.34,1.39,,,-114.9,596,,,,
Perognathus longimembris,8,0.9,14.07,1.15,,,-117.18,405,,,,
Perognathus penicillatus,16,1.2,22.4,1.35,,,-110.93,815,,,,
Peromyscus boylii,23.2,1.37,54.29,1.73,,,-121.82,198,,,,
Peromyscus californicus insignis,45.5,1.66,46.87,1.67,,,-117.18,405,,,,
Peromyscus californicus parasiticus,49.6,1.7,58.03,1.76,,,-122.25,165,,,,
Peromyscus crinitus pergracilis,20.9,1.32,30.93,1.49,,,-111.97,1363,,,,
Peromyscus crinitus stephensi,15.9,1.2,25.12,1.4,,,-114.9,596,,,,
Peromyscus eremicus eremicus,21.5,1.33,31.82,1.5,,,-114.9,596,,,,
Peromyscus gossypinus,21.5,1.33,36.98,1.57,,,-81.7,8,,,,
Peromyscus leucopus,22.1,1.34,36.69,1.56,,,-76.4,371,,,,
Peromyscus maniculatus gambeli,19.1,1.28,38.96,1.59,,,-122.25,165,,,,
Peromyscus maniculatus sonoriensis,24.2,1.38,40.41,1.61,,,-114.9,596,,,,
Peromyscus polionotus,12,1.08,21.48,1.33,,,-82.08,28,,,,
Peromyscus sitkensis,28.3,1.45,46.7,1.67,,,-127.95,75,,,,
Peromyscus truei gilberti,33.2,1.52,62.42,1.8,,,-122.25,165,,,,
Peromyscus truei truei,33.2,1.52,50.8,1.71,,,-114.9,596,,,,
Peropteryx macrotis,5.1,0.71,11.94,1.08,,,-69.51,670,,,,
Petauroides volans,1141,3.06,569.65,2.76,,,151.68,697,,,,
Petaurus breviceps,132.2,2.12,97.83,1.99,,,144.97,58,,,,
Petradromys tetradactylus,206.1,2.31,179.51,2.25,,,31.8,423,,,,
Petromyscus collinus,20.41,1.31,20.61,1.31,,,21.27,832,,,,
Phalanger carmelitae,1389.7,3.14,534.33,2.73,,,145.79,94,,,,
Phalanger sericeus,1353.2,3.13,428.36,2.63,,,145.25,917,,,,
Phascolarctos cinereus,4765,3.68,1047.26,3.02,,,146.55,217,,,,
Phasogale tapoatafa,157.2,2.2,127.33,2.1,,,148.45,37,,,,
Phenacomys intermedius,21.5,1.33,67.3,1.83,,,-104.87,1621,,,,
Philander opossum,751,2.88,337.95,2.53,,,-79.9,21,,,,
Philantomba monticola,4400,3.64,1890.05,3.28,,,28.13,1127,,,,
Phodopus sungorus,35.9,1.56,76.11,1.88,,,116.07,1022,,,,
Phodopus sungorus cambelli,31.4,1.5,59.03,1.77,,,116.07,1022,,,,
Phyllostomus discolor,33.5,1.53,34.33,1.54,,,-49.22,480,,,,
Phyllostomus elongatus,35.6,1.55,38.81,1.59,,,-62.5,14,,,,
Phyllostomus hastatus,84.2,1.93,70.65,1.85,,,-62.5,14,,,,
Phyllotis darwini darwini,59,1.77,71.39,1.85,,,-70.78,498,,,,
Phyllotis darwini rupestris,35.9,1.56,45.23,1.66,,,-70.3,517,,,,
Planigale gilesi,8.9,0.95,12.73,1.1,,,138.05,42,,,,
Planigale ingrami,7.1,0.85,11.29,1.05,,,135.95,219,,,,
Planigale maculata,13.1,1.12,13.23,1.12,,,130.87,19,,,,
Podomys floridanus,30.8,1.49,51.74,1.71,,,-82.08,28,,,,
Potorous tridactylus,1120,3.05,503.48,2.7,,,147.19,370,,,,
Potos flavus,2400,3.38,757.71,2.88,,,-74.17,106,,,,
Priodontes maximus,45190,4.66,3024.88,3.48,,,-58.55,98,,,,
